lat,lon,depth,mag,remark,strike1,dip1,rake1,strike2,dip2,rake2
-3.37,139.72,10,2.8,Irian Jaya - Indonesia,,,,,,
-3.47,139.38,10,3.8,Irian Jaya - Indonesia,,,,,,
-3.69,139.71,24,3.9,Irian Jaya - Indonesia,,,,,,
-2.39,138.28,12,4.0,Irian Jaya - Indonesia,,,,,,
-2.57,138.92,10,3.3,Irian Jaya - Indonesia,,,,,,
-3.76,138.64,86,4.8,Irian Jaya - Indonesia,,,,,,
-3.99,136.63,76,4.7,Irian Jaya - Indonesia,,,,,,
-2.48,138.94,73,3.4,Irian Jaya - Indonesia,,,,,,
-3.40,139.90,75,3.1,Irian Jaya - Indonesia,,,,,,
-2.80,138.54,54,4.6,Irian Jaya - Indonesia,,,,,,
-2.44,138.66,25,3.6,Irian Jaya - Indonesia,,,,,,
-2.62,138.84,10,4.8,Irian Jaya - Indonesia,,,,,,
-3.45,139.84,19,4.4,Irian Jaya - Indonesia,,,,,,
-4.59,139.31,56,4.7,Irian Jaya - Indonesia,,,,,,
-3.85,140.24,210,4.4,Irian Jaya - Indonesia,,,,,,
-3.67,139.76,10,2.7,Irian Jaya - Indonesia,,,,,,
-3.97,139.09,150,3.5,Irian Jaya - Indonesia,,,,,,
-2.18,138.31,12,4.1,Irian Jaya - Indonesia,,,,,,
-2.19,138.37,10,4.9,Irian Jaya - Indonesia,,,,,,
-2.19,138.28,13,5.6,Irian Jaya - Indonesia,109.7,84.8,60.0,10.81,30.4,169.8
-2.19,138.28,13,5.6,Irian Jaya - Indonesia,,,,,,
-2.10,138.28,10,4.1,Irian Jaya - Indonesia,,,,,,
-3.52,139.98,61,4.4,Irian Jaya - Indonesia,,,,,,
-4.15,139.09,129,4.4,Irian Jaya - Indonesia,,,,,,
-3.00,139.66,111,4.7,Irian Jaya - Indonesia,,,,,,
-2.94,137.56,58,4.9,Irian Jaya - Indonesia,,,,,,
-3.07,137.60,56,4.4,Irian Jaya - Indonesia,,,,,,
-2.14,138.37,10,4.3,Irian Jaya - Indonesia,,,,,,
-2.23,138.49,10,4.4,Irian Jaya - Indonesia,,,,,,
-2.49,138.85,10,3.9,Irian Jaya - Indonesia,,,,,,
-3.64,139.76,15,3.0,Irian Jaya - Indonesia,,,,,,
-3.08,139.72,33,3.4,Irian Jaya - Indonesia,,,,,,
-3.54,140.53,61,3.4,Irian Jaya - Indonesia,,,,,,
-3.02,140.04,54,2.8,Irian Jaya - Indonesia,,,,,,
-3.10,140.15,27,3.5,Irian Jaya - Indonesia,,,,,,
-3.12,139.99,53,4.0,Irian Jaya - Indonesia,,,,,,
-3.43,140.40,10,3.5,Irian Jaya - Indonesia,,,,,,
-3.32,136.26,10,4.3,Irian Jaya - Indonesia,,,,,,
-3.09,140.06,37,3.7,Irian Jaya - Indonesia,,,,,,
-3.57,137.64,103,4.1,Irian Jaya - Indonesia,,,,,,
-3.21,139.56,38,3.6,Irian Jaya - Indonesia,,,,,,
-4.52,139.34,13,4.2,Irian Jaya - Indonesia,,,,,,
-3.14,140.17,26,2.1,Irian Jaya - Indonesia,,,,,,
-3.47,139.70,74,4.8,Irian Jaya - Indonesia,,,,,,
-3.38,140.41,13,3.9,Irian Jaya - Indonesia,,,,,,
-4.59,138.18,95,5.1,Irian Jaya - Indonesia,,,,,,
-3.06,139.82,90,2.4,Irian Jaya - Indonesia,,,,,,
-2.59,138.43,16,4.5,Irian Jaya - Indonesia,,,,,,
-4.85,139.48,10,3.7,Irian Jaya - Indonesia,,,,,,
-3.80,139.51,10,3.6,Irian Jaya - Indonesia,,,,,,
-3.14,140.46,29,2.8,Irian Jaya - Indonesia,,,,,,
-2.55,138.70,70,4.1,Irian Jaya - Indonesia,124.6,32.7,-82.2,295.37,57.6,-95.0
-2.55,138.70,70,4.1,Irian Jaya - Indonesia,,,,,,
-3.94,138.86,119,4.1,Irian Jaya - Indonesia,,,,,,
-2.40,138.92,21,3.2,Irian Jaya - Indonesia,,,,,,
-2.14,138.24,10,5.2,Irian Jaya - Indonesia,192.1,61.9,132.4,309.48,49.3,38.4
